Product Name,Prices,Reviews
"Google Pixel 6a (Chalk, 128 GB)","₹43,999",4.3
"IQOO Neo 10 (Titanium Chrome, 256 GB)","₹40,990",4.5
"Google Pixel 10 (Indigo, 256 GB)","₹79,999",4.5
"Google Pixel 10 (Obsidian, 256 GB)","₹79,999",4.5
"Samsung Galaxy S24 5G Snapdragon (Marble Gray, 128 GB)","₹49,999",4.6
"OnePlus Nord 5 5G (Marble Sands, 256 GB)","₹37,373",4.5
"Google Pixel 10 (Frost, 256 GB)","₹79,999",4.5
"Google Pixel 10 (Lemongrass, 256 GB)","₹79,999",4.5
"Samsung Galaxy A36 5G (Awesome Lavender, 256 GB)","₹34,499",4.4
"Samsung Galaxy A55 5G (Awesome Iceblue, 256 GB)","₹33,955",4.3
"Google Pixel 6a (Charcoal, 128 GB)","₹43,999",4.3
"OPPO Reno14 5G (Pearl White, 256 GB)","₹44,999",4.5
"OPPO Reno14 5G (Pearl White, 512 GB)","₹47,990",4.5
"OnePlus 11 5G (Eternal Green, 256 GB)","₹38,999",4.5
"Samsung Galaxy S24 5G Snapdragon (Amber Yellow, 128 GB)","₹49,999",4.6
"Motorola Edge 50 Ultra 5G (Nordic Wood, 512 GB)","₹49,999",4.3
"OnePlus 12R (Iron Gray, 128 GB)","₹38,799",4.5
"Xiaomi 12 Pro 5G (Couture Blue, 256 GB)","₹41,999",4.1
"vivo V40 Pro 5G (Titanium Grey, 256 GB)","₹49,999",4.5
"Samsung Galaxy S24 Exynos 5G (Cobalt Violet, 128 GB)","₹49,999",4.6
"Motorola Edge 50 Ultra 5G (Peach Fuzz, 512 GB)","₹49,999",4.3
"OPPO Reno13 Pro 5G (Graphite Grey, 512 GB)","₹44,999",4.5
"Samsung Galaxy S24 Exynos 5G (Amber Yellow, 128 GB)","₹49,999",4.6
"Xiaomi 12 Pro 5G (Noir Black, 256 GB)","₹36,299",4.1
"Apple iPhone 15 (Pink, 128 GB)","₹51,999",4.6
"IQOO Neo 10 (Inferno Red, 256 GB)","₹40,490",4.5
"Google Pixel 10 (Indigo, 256 GB)","₹79,999",4.5
"Google Pixel 10 (Obsidian, 256 GB)","₹79,999",4.5
"OPPO Reno 12 Pro 5G (Sunset Gold, 512 GB)","₹35,837",4.4
"OnePlus 10 Pro 5G (Emerald Forest, 256 GB)","₹44,999",3.9
"OPPO Reno14 5G (Mint Green, 256 GB)","₹44,999",4.5
"vivo V30 Pro 5G (Classic Black, 256 GB)","₹46,999",4.5
"Google Pixel 10 (Frost, 256 GB)","₹79,999",4.5
"Google Pixel 10 (Lemongrass, 256 GB)","₹79,999",4.5
"OnePlus 15R 5G (Mint Breeze, 256 GB)","₹48,989",4.6
"MOTOROLA razr 40 (Sage Green, 256 GB)","₹41,999",3.9
"OnePlus 12R (Cool Blue, 256 GB)","₹39,900",4.5
"OnePlus 10T 5G (Moonstone Black, 256 GB)","₹37,999",4
"OPPO Reno13 Pro 5G (Mist Lavender, 256 GB)","₹49,999",4.5
"Samsung Galaxy S23 5G (Green, 256 GB)","₹49,999",4.6
"OnePlus 11 5G (Eternal Green, 128 GB)","₹32,183",4.4
"OnePlus 15R 5G (Electric Violet, 256 GB)","₹48,858",4.6
"Samsung Galaxy S24 Exynos 5G (Onyx Black, 128 GB)","₹49,999",4.6
"Samsung Galaxy A36 5G (Awesome Black, 256 GB)","₹34,499",4.4
"Samsung Galaxy S21 FE 5G with Snapdragon 888 (Navy, 128 GB)","₹45,999",4.3
"Samsung Galaxy S21 FE 5G with Snapdragon 888 (Lavender, 128 GB)","₹45,999",4.3
"Samsung Galaxy S24 Exynos 5G (Marble Gray, 128 GB)","₹49,999",4.6
"Samsung Galaxy A55 5G (Awesome Navy, 256 GB)","₹33,990",4.3
"OPPO Reno10 Pro 5G (Glossy Purple, 256 GB)","₹32,499",4.3
"OPPO Reno11 Pro 5G (Rock Grey, 256 GB)","₹34,898",4.4
"OnePlus 11R 5G (Galactic Silver, 256 GB)","₹39,998",4.5
"OnePlus 10T 5G (Jade Green, 256 GB)","₹37,999",4.1
"Google Pixel 10 (Indigo, 256 GB)","₹79,999",4.5
"Google Pixel 10 (Obsidian, 256 GB)","₹79,999",4.5
"Samsung Galaxy S21 FE 5G with Snapdragon 888 (Graphite, 128 GB)","₹45,999",4.3
"Samsung Galaxy S23 5G (Lavender, 256 GB)","₹49,999",4.6
"Google Pixel 10 (Frost, 256 GB)","₹79,999",4.5
"Google Pixel 10 (Lemongrass, 256 GB)","₹79,999",4.5
"Samsung Galaxy Z Flip7 5G (Coralred, 512 GB)","₹1,21,999",4.5
"OnePlus 10T 5G (Moonstone Black, 256 GB)","₹37,999",4.1
"Google Pixel 8 (Obsidian, 128 GB)","₹47,999",4.4
"Samsung Galaxy S21 FE 5G with Snapdragon 888 (Olive, 128 GB)","₹45,999",4.3
